Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
foo/dyn/47,9.155476631861672e-8,9.110444853374782e-8,9.241211540453556e-8,1.943860723564108e-9,1.3682332254583444e-9,2.819864295007444e-9
foo/new/48,2.0959320663177463e-8,2.0873823333757072e-8,2.1211174275412637e-8,4.1076039863757745e-10,2.0627550683184272e-10,8.209121923675048e-10
foo/old/48,5.11576188534597e-8,5.107051087235394e-8,5.126824767609189e-8,3.274860992117688e-10,2.434057732060615e-10,4.977782923714185e-10
foo/dyn/48,9.07138343980499e-8,9.051730392980096e-8,9.101475237690643e-8,7.47323740980045e-10,5.822908797490521e-10,1.090357051687982e-9
foo/new/49,2.055714241705361e-8,2.0496846245655267e-8,2.0725616798891634e-8,3.106781781813656e-10,1.5419434866884924e-10,6.22893447381045e-10
foo/old/49,5.328040622469798e-8,5.3179585708890516e-8,5.3437474249796504e-8,4.2807000218944777e-10,3.05492252730752e-10,6.15202556715905e-10
foo/dyn/49,9.334697818068763e-8,9.298894967225437e-8,9.395686260157953e-8,1.4830901805399495e-9,9.695169605357534e-10,2.661725805777962e-9
foo/new/50,2.1071233244297043e-8,2.099485072520239e-8,2.132775966393872e-8,4.3425615865669174e-10,1.3594759857195393e-10,8.809712563083359e-10
foo/old/50,5.21256028665303e-8,5.203704422992471e-8,5.230872710555913e-8,4.267771866890645e-10,2.5650477956642484e-10,7.444108833442762e-10
foo/dyn/50,1.0171542948719911e-7,1.015082487611211e-7,1.0211416821908074e-7,9.089933918196378e-10,5.550960609997061e-10,1.548064607225491e-9
foo/new/51,2.1306101043595153e-8,2.1201500508259377e-8,2.1670118422740227e-8,5.712862932319085e-10,1.5068366990627573e-10,1.1736269468917056e-9
foo/old/51,5.4646377819510646e-8,5.45571839843736e-8,5.4763111507812085e-8,3.4550994420693944e-10,2.5794408408132643e-10,4.59541658172918e-10
foo/dyn/51,9.673315807646296e-8,9.630912709195668e-8,9.788504636199524e-8,2.1487177299704746e-9,9.120248656813739e-10,4.159952975787057e-9
foo/new/52,2.2132840831925187e-8,2.2008818079754826e-8,2.258145481218341e-8,7.303813547883881e-10,2.3991617634904975e-10,1.4622351976713547e-9
foo/old/52,5.541268141867018e-8,5.5290579684456875e-8,5.562365494785133e-8,5.143267932187085e-10,3.039836622281152e-10,7.944707952077689e-10
foo/dyn/52,9.77630255911414e-8,9.718848850473884e-8,9.930812893411657e-8,2.9934358777374685e-9,8.723305575904506e-10,6.0231030073995526e-9
foo/new/53,2.1914262101033224e-8,2.1866312753579943e-8,2.197826740070257e-8,1.9247903781611534e-10,1.4103495573058006e-10,2.6582048452499645e-10
foo/old/53,5.403894574578604e-8,5.3975570704020416e-8,5.410890070895599e-8,2.33234965940287e-10,1.965696734896877e-10,2.867063583575946e-10
foo/dyn/53,9.997738571859495e-8,9.975474108273739e-8,1.0025042894367575e-7,8.231001505297213e-10,6.502400888643984e-10,1.1131173971486985e-9
foo/new/54,2.272623311671753e-8,2.2669140423989873e-8,2.281836686302173e-8,2.3326953004894064e-10,1.6249733571281325e-10,3.7550905278404074e-10
